table,column,dtype,missing,missing_pct,distinct_nonmissing
edstays,subject_id,string,0,0.0,64
edstays,hadm_id,string,50,22.52252252252252,171
edstays,stay_id,string,0,0.0,222
edstays,intime,object,0,0.0,222
edstays,outtime,object,0,0.0,222
edstays,gender,object,0,0.0,2
edstays,race,object,0,0.0,12
edstays,arrival_transport,object,0,0.0,4
edstays,disposition,object,0,0.0,7
triage,subject_id,string,0,0.0,64
triage,stay_id,string,0,0.0,222
triage,temperature,float64,26,11.711711711711711,42
triage,heartrate,float64,24,10.81081081081081,70
triage,resprate,float64,23,10.36036036036036,13
triage,o2sat,float64,24,10.81081081081081,14
triage,sbp,float64,23,10.36036036036036,85
triage,dbp,float64,23,10.36036036036036,65
triage,pain,object,21,9.45945945945946,18
triage,acuity,float64,15,6.756756756756757,4
triage,chiefcomplaint,object,0,0.0,182
diagnosis,subject_id,string,0,0.0,63
diagnosis,stay_id,string,0,0.0,221
diagnosis,seq_num,int64,0,0.0,9
diagnosis,icd_code,string,0,0.0,288
diagnosis,icd_version,int64,0,0.0,2
diagnosis,icd_title,object,0,0.0,288
medrecon,subject_id,string,0,0.0,49
medrecon,stay_id,string,0,0.0,181
medrecon,charttime,object,0,0.0,423
medrecon,name,object,0,0.0,490
medrecon,gsn,string,0,0.0,525
medrecon,ndc,string,0,0.0,528
medrecon,etc_rn,int64,0,0.0,3
medrecon,etccode,string,4,0.1447178002894356,242
medrecon,etcdescription,object,4,0.1447178002894356,242
pyxis,subject_id,string,0,0.0,56
pyxis,stay_id,string,0,0.0,176
pyxis,charttime,object,0,0.0,621
pyxis,med_rn,int64,0,0.0,28
pyxis,name,object,0,0.0,241
pyxis,gsn_rn,int64,0,0.0,3
pyxis,gsn,string,32,2.957486136783734,231
vitalsign,subject_id,string,0,0.0,54
vitalsign,stay_id,string,0,0.0,206
vitalsign,charttime,object,0,0.0,1038
vitalsign,temperature,float64,459,44.21965317919075,76
vitalsign,heartrate,float64,30,2.8901734104046244,92
vitalsign,resprate,float64,48,4.624277456647398,29
vitalsign,o2sat,float64,67,6.454720616570328,14
vitalsign,sbp,float64,40,3.8535645472061653,121
vitalsign,dbp,float64,40,3.8535645472061653,76
vitalsign,rhythm,object,1005,96.82080924855492,8
vitalsign,pain,object,302,29.09441233140655,38
