hour,hours,nonblank_hours,blank_hours,mean_nonblank_only,mean_if_blank_is_zero,total
0,1416,1309,107,2.839572192513369,2.625,3717.0
1,1416,1213,203,2.4558944765045343,2.1038135593220337,2979.0
2,1416,1160,256,2.264655172413793,1.8552259887005649,2627.0
3,1416,1147,269,2.085440278988666,1.689265536723164,2392.0
4,1416,1121,295,1.9652096342551293,1.5557909604519775,2203.0
5,1416,1115,301,2.009865470852018,1.5826271186440677,2241.0
6,1416,1211,205,2.3203963666391414,1.984463276836158,2810.0
7,1416,1300,116,2.8653846153846154,2.630649717514124,3725.0
8,1416,1377,39,4.140885984023239,4.02683615819209,5702.0
9,1416,1404,12,5.128917378917379,5.08545197740113,7201.0
10,1416,1406,10,5.485775248933144,5.447033898305085,7713.0
11,1416,1406,10,5.725462304409673,5.685028248587571,8050.0
12,1416,1409,7,5.850958126330731,5.822033898305085,8244.0
13,1416,1408,8,5.650568181818182,5.61864406779661,7956.0
14,1416,1405,11,5.63202846975089,5.588276836158192,7913.0
15,1416,1405,11,5.691103202846975,5.646892655367232,7996.0
16,1416,1403,13,5.852459016393443,5.798728813559322,8211.0
17,1416,1405,11,6.039145907473309,5.992231638418079,8485.0
18,1416,1407,9,5.830845771144278,5.793785310734464,8204.0
19,1416,1407,9,5.65316275764037,5.617231638418079,7954.0
20,1416,1408,8,5.463068181818182,5.432203389830509,7692.0
21,1416,1403,13,5.070563079116179,5.0240112994350286,7114.0
22,1416,1388,28,4.38400576368876,4.297316384180791,6085.0
23,1416,1356,60,3.5331858407079646,3.3834745762711864,4791.0
