month,hours,nonblank_hours,blank_hours,mean_nonblank_only,mean_if_blank_is_zero,total
1,2880,2707,173,4.251200591060214,3.995833333333333,11508.0
2,2616,2442,174,4.225225225225225,3.944189602446483,10318.0
3,2880,2695,185,4.249350649350649,3.9763888888888888,11452.0
4,2808,2634,174,4.388382687927107,4.1164529914529915,11559.0
5,2880,2711,169,4.4367392106233865,4.176388888888889,12028.0
6,2784,2638,146,4.538665655799848,4.300646551724138,11973.0
7,2880,2720,160,4.570588235294117,4.316666666666666,12432.0
8,2904,2733,171,4.71935601902671,4.441460055096419,12898.0
9,2784,2624,160,4.661966463414634,4.394037356321839,12233.0
10,2880,2704,176,4.44008875739645,4.16875,12006.0
11,2808,2630,178,4.399239543726236,4.12037037037037,11570.0
12,2880,2735,145,4.39780621572212,4.176388888888889,12028.0
