date,year,source_total,sum_nonblank,blank_hours
2014-01-01,2014,90.0,90.0,0
2014-01-02,2014,97.0,97.0,2
2014-01-03,2014,80.0,80.0,4
2014-01-04,2014,92.0,92.0,0
2014-01-05,2014,76.0,76.0,2
2014-01-06,2014,66.0,66.0,1
2014-01-07,2014,80.0,80.0,1
2014-01-08,2014,75.0,75.0,1
2014-01-09,2014,78.0,78.0,2
2014-01-10,2014,88.0,88.0,1
2014-01-11,2014,106.0,106.0,2
2014-01-12,2014,101.0,101.0,1
2014-01-13,2014,95.0,95.0,1
2014-01-14,2014,73.0,73.0,4
2014-01-15,2014,77.0,77.0,3
2014-01-16,2014,67.0,67.0,3
2014-01-17,2014,93.0,93.0,2
2014-01-18,2014,54.0,54.0,3
2014-01-19,2014,84.0,84.0,3
2014-01-20,2014,80.0,80.0,4
2014-01-21,2014,75.0,75.0,3
2014-01-22,2014,69.0,69.0,4
2014-01-23,2014,76.0,76.0,2
2014-01-24,2014,85.0,85.0,2
2014-01-25,2014,82.0,82.0,2
2014-01-26,2014,98.0,98.0,2
2014-01-27,2014,80.0,80.0,0
2014-01-28,2014,74.0,74.0,3
2014-01-29,2014,65.0,65.0,2
2014-01-30,2014,67.0,67.0,1
2014-02-01,2014,77.0,77.0,2
2014-02-02,2014,66.0,66.0,0
2014-02-03,2014,89.0,89.0,2
2014-02-04,2014,73.0,73.0,1
2014-02-05,2014,64.0,64.0,3
2014-02-06,2014,78.0,78.0,4
2014-02-07,2014,84.0,84.0,2
2014-02-08,2014,87.0,87.0,4
2014-02-09,2014,74.0,74.0,2
2014-02-10,2014,83.0,83.0,2
2014-02-11,2014,86.0,86.0,2
2014-02-12,2014,75.0,75.0,3
2014-02-13,2014,80.0,80.0,2
2014-02-14,2014,132.0,132.0,1
2014-02-15,2014,92.0,92.0,1
2014-02-16,2014,90.0,90.0,1
2014-02-17,2014,75.0,75.0,1
2014-02-18,2014,91.0,91.0,4
2014-02-19,2014,100.0,100.0,2
2014-02-20,2014,72.0,72.0,3
2014-02-21,2014,94.0,94.0,5
2014-02-22,2014,93.0,93.0,4
2014-02-23,2014,93.0,93.0,2
2014-02-24,2014,102.0,102.0,4
2014-02-25,2014,72.0,72.0,4
2014-02-26,2014,97.0,97.0,0
2014-02-27,2014,84.0,84.0,4
2014-02-28,2014,,,24
2014-03-01,2014,79.0,79.0,2
2014-03-02,2014,80.0,80.0,4
2014-03-03,2014,94.0,94.0,2
2014-03-04,2014,90.0,90.0,3
2014-03-05,2014,72.0,72.0,6
2014-03-06,2014,69.0,69.0,4
2014-03-07,2014,94.0,94.0,4
2014-03-08,2014,82.0,82.0,1
2014-03-09,2014,85.0,85.0,2
2014-03-10,2014,89.0,89.0,1
2014-03-11,2014,71.0,71.0,4
2014-03-12,2014,83.0,83.0,1
2014-03-13,2014,96.0,96.0,1
2014-03-14,2014,81.0,81.0,2
2014-03-15,2014,77.0,77.0,3
2014-03-16,2014,82.0,82.0,0
2014-03-17,2014,76.0,76.0,1
2014-03-18,2014,93.0,93.0,2
2014-03-19,2014,74.0,74.0,1
2014-03-20,2014,69.0,69.0,3
2014-03-21,2014,69.0,69.0,3
2014-03-22,2014,93.0,93.0,2
2014-03-23,2014,85.0,85.0,1
2014-03-24,2014,89.0,89.0,4
2014-03-25,2014,84.0,84.0,2
2014-03-26,2014,85.0,85.0,2
2014-03-27,2014,91.0,91.0,4
2014-03-28,2014,79.0,79.0,3
2014-03-29,2014,81.0,81.0,0
2014-03-30,2014,112.0,112.0,2
2014-04-01,2014,77.0,77.0,2
2014-04-02,2014,81.0,81.0,3
2014-04-03,2014,87.0,87.0,2
2014-04-04,2014,80.0,80.0,1
2014-04-05,2014,85.0,85.0,1
2014-04-06,2014,94.0,94.0,0
2014-04-07,2014,97.0,97.0,1
2014-04-08,2014,92.0,92.0,0
2014-04-09,2014,109.0,109.0,0
2014-04-10,2014,84.0,84.0,4
2014-04-11,2014,94.0,94.0,2
2014-04-12,2014,95.0,95.0,2
2014-04-13,2014,75.0,75.0,4
2014-04-14,2014,83.0,83.0,3
2014-04-15,2014,59.0,59.0,2
2014-04-16,2014,79.0,79.0,0
2014-04-17,2014,91.0,91.0,1
2014-04-18,2014,88.0,88.0,2
2014-04-19,2014,97.0,97.0,2
2014-04-20,2014,94.0,94.0,2
2014-04-21,2014,93.0,93.0,1
2014-04-22,2014,82.0,82.0,2
2014-04-23,2014,85.0,85.0,3
2014-04-24,2014,87.0,87.0,3
2014-04-25,2014,88.0,88.0,2
2014-04-26,2014,118.0,118.0,1
2014-04-27,2014,98.0,98.0,1
2014-04-28,2014,99.0,99.0,4
2014-04-29,2014,77.0,77.0,1
2014-04-30,2014,,,24
2014-05-01,2014,88.0,88.0,1
2014-05-02,2014,83.0,83.0,2
2014-05-03,2014,91.0,91.0,0
2014-05-04,2014,76.0,76.0,0
2014-05-05,2014,88.0,88.0,1
2014-05-06,2014,96.0,96.0,2
2014-05-07,2014,93.0,93.0,2
2014-05-08,2014,96.0,96.0,2
2014-05-09,2014,96.0,96.0,0
2014-05-10,2014,89.0,89.0,2
2014-05-11,2014,106.0,106.0,1
2014-05-12,2014,89.0,89.0,3
2014-05-13,2014,69.0,69.0,3
2014-05-14,2014,94.0,94.0,2
2014-05-15,2014,77.0,77.0,2
2014-05-16,2014,93.0,93.0,2
2014-05-17,2014,108.0,108.0,2
2014-05-18,2014,88.0,88.0,3
2014-05-19,2014,94.0,94.0,0
2014-05-20,2014,92.0,92.0,1
2014-05-21,2014,87.0,87.0,1
2014-05-22,2014,84.0,84.0,1
2014-05-23,2014,84.0,84.0,4
2014-05-24,2014,100.0,100.0,2
2014-05-25,2014,96.0,96.0,1
2014-05-26,2014,99.0,99.0,1
2014-05-27,2014,92.0,92.0,2
2014-05-28,2014,80.0,80.0,2
2014-05-29,2014,78.0,78.0,2
2014-05-30,2014,59.0,59.0,2
2014-06-01,2014,113.0,113.0,1
2014-06-02,2014,97.0,97.0,3
2014-06-03,2014,77.0,77.0,3
2014-06-04,2014,67.0,67.0,3
2014-06-05,2014,98.0,98.0,2
2014-06-06,2014,103.0,103.0,3
2014-06-07,2014,96.0,96.0,0
2014-06-08,2014,90.0,90.0,1
2014-06-09,2014,101.0,101.0,2
2014-06-10,2014,60.0,60.0,2
2014-06-11,2014,100.0,100.0,0
2014-06-12,2014,68.0,68.0,3
2014-06-13,2014,76.0,76.0,2
2014-06-14,2014,84.0,84.0,2
2014-06-15,2014,97.0,97.0,2
2014-06-16,2014,94.0,94.0,3
2014-06-17,2014,87.0,87.0,0
2014-06-18,2014,76.0,76.0,3
2014-06-19,2014,76.0,76.0,2
2014-06-20,2014,85.0,85.0,1
2014-06-21,2014,88.0,88.0,2
2014-06-22,2014,78.0,78.0,0
2014-06-23,2014,106.0,106.0,2
2014-06-24,2014,78.0,78.0,3
2014-06-25,2014,79.0,79.0,3
2014-06-26,2014,87.0,87.0,3
2014-06-27,2014,91.0,91.0,0
2014-06-28,2014,97.0,97.0,0
2014-06-29,2014,92.0,92.0,2
2014-07-01,2014,83.0,83.0,2
2014-07-02,2014,73.0,73.0,1
2014-07-03,2014,85.0,85.0,0
2014-07-04,2014,87.0,87.0,3
2014-07-05,2014,115.0,115.0,2
2014-07-06,2014,96.0,96.0,2
2014-07-07,2014,99.0,99.0,3
2014-07-08,2014,93.0,93.0,0
2014-07-09,2014,78.0,78.0,2
2014-07-10,2014,107.0,107.0,1
2014-07-11,2014,77.0,77.0,2
2014-07-12,2014,85.0,85.0,3
2014-07-13,2014,94.0,94.0,0
2014-07-14,2014,91.0,91.0,1
2014-07-15,2014,85.0,85.0,3
2014-07-16,2014,81.0,81.0,2
2014-07-17,2014,96.0,96.0,2
2014-07-18,2014,86.0,86.0,2
2014-07-19,2014,90.0,90.0,2
2014-07-20,2014,98.0,98.0,0
2014-07-21,2014,99.0,99.0,2
