timestamp,date,year,hour,arrivals_observed,arrivals_zero_assumption,blank_cell,day_has_total,excel_row,excel_column
2014-01-01 00:00:00,2014-01-01,2014,0,2.0,2.0,0,1,8,4
2014-01-01 01:00:00,2014-01-01,2014,1,2.0,2.0,0,1,9,4
2014-01-01 02:00:00,2014-01-01,2014,2,3.0,3.0,0,1,10,4
2014-01-01 03:00:00,2014-01-01,2014,3,1.0,1.0,0,1,11,4
2014-01-01 04:00:00,2014-01-01,2014,4,1.0,1.0,0,1,12,4
2014-01-01 05:00:00,2014-01-01,2014,5,2.0,2.0,0,1,13,4
2014-01-01 06:00:00,2014-01-01,2014,6,2.0,2.0,0,1,14,4
2014-01-01 07:00:00,2014-01-01,2014,7,5.0,5.0,0,1,15,4
2014-01-01 08:00:00,2014-01-01,2014,8,5.0,5.0,0,1,16,4
2014-01-01 09:00:00,2014-01-01,2014,9,6.0,6.0,0,1,17,4
2014-01-01 10:00:00,2014-01-01,2014,10,5.0,5.0,0,1,18,4
2014-01-01 11:00:00,2014-01-01,2014,11,4.0,4.0,0,1,19,4
2014-01-01 12:00:00,2014-01-01,2014,12,9.0,9.0,0,1,20,4
2014-01-01 13:00:00,2014-01-01,2014,13,3.0,3.0,0,1,21,4
2014-01-01 14:00:00,2014-01-01,2014,14,8.0,8.0,0,1,22,4
2014-01-01 15:00:00,2014-01-01,2014,15,6.0,6.0,0,1,23,4
2014-01-01 16:00:00,2014-01-01,2014,16,6.0,6.0,0,1,24,4
2014-01-01 17:00:00,2014-01-01,2014,17,4.0,4.0,0,1,25,4
2014-01-01 18:00:00,2014-01-01,2014,18,3.0,3.0,0,1,26,4
2014-01-01 19:00:00,2014-01-01,2014,19,1.0,1.0,0,1,27,4
2014-01-01 20:00:00,2014-01-01,2014,20,4.0,4.0,0,1,28,4
2014-01-01 21:00:00,2014-01-01,2014,21,3.0,3.0,0,1,29,4
2014-01-01 22:00:00,2014-01-01,2014,22,3.0,3.0,0,1,30,4
2014-01-01 23:00:00,2014-01-01,2014,23,2.0,2.0,0,1,31,4
2014-01-02 00:00:00,2014-01-02,2014,0,1.0,1.0,0,1,8,6
2014-01-02 01:00:00,2014-01-02,2014,1,2.0,2.0,0,1,9,6
2014-01-02 02:00:00,2014-01-02,2014,2,2.0,2.0,0,1,10,6
2014-01-02 03:00:00,2014-01-02,2014,3,1.0,1.0,0,1,11,6
2014-01-02 04:00:00,2014-01-02,2014,4,1.0,1.0,0,1,12,6
2014-01-02 05:00:00,2014-01-02,2014,5,,0.0,1,1,13,6
2014-01-02 06:00:00,2014-01-02,2014,6,3.0,3.0,0,1,14,6
2014-01-02 07:00:00,2014-01-02,2014,7,5.0,5.0,0,1,15,6
2014-01-02 08:00:00,2014-01-02,2014,8,2.0,2.0,0,1,16,6
2014-01-02 09:00:00,2014-01-02,2014,9,7.0,7.0,0,1,17,6
2014-01-02 10:00:00,2014-01-02,2014,10,9.0,9.0,0,1,18,6
2014-01-02 11:00:00,2014-01-02,2014,11,6.0,6.0,0,1,19,6
2014-01-02 12:00:00,2014-01-02,2014,12,7.0,7.0,0,1,20,6
2014-01-02 13:00:00,2014-01-02,2014,13,5.0,5.0,0,1,21,6
2014-01-02 14:00:00,2014-01-02,2014,14,7.0,7.0,0,1,22,6
2014-01-02 15:00:00,2014-01-02,2014,15,6.0,6.0,0,1,23,6
2014-01-02 16:00:00,2014-01-02,2014,16,7.0,7.0,0,1,24,6
2014-01-02 17:00:00,2014-01-02,2014,17,10.0,10.0,0,1,25,6
2014-01-02 18:00:00,2014-01-02,2014,18,1.0,1.0,0,1,26,6
2014-01-02 19:00:00,2014-01-02,2014,19,7.0,7.0,0,1,27,6
2014-01-02 20:00:00,2014-01-02,2014,20,4.0,4.0,0,1,28,6
2014-01-02 21:00:00,2014-01-02,2014,21,1.0,1.0,0,1,29,6
2014-01-02 22:00:00,2014-01-02,2014,22,3.0,3.0,0,1,30,6
2014-01-02 23:00:00,2014-01-02,2014,23,,0.0,1,1,31,6
2014-01-03 00:00:00,2014-01-03,2014,0,2.0,2.0,0,1,8,8
2014-01-03 01:00:00,2014-01-03,2014,1,2.0,2.0,0,1,9,8
2014-01-03 02:00:00,2014-01-03,2014,2,,0.0,1,1,10,8
2014-01-03 03:00:00,2014-01-03,2014,3,,0.0,1,1,11,8
2014-01-03 04:00:00,2014-01-03,2014,4,1.0,1.0,0,1,12,8
2014-01-03 05:00:00,2014-01-03,2014,5,,0.0,1,1,13,8
2014-01-03 06:00:00,2014-01-03,2014,6,2.0,2.0,0,1,14,8
2014-01-03 07:00:00,2014-01-03,2014,7,2.0,2.0,0,1,15,8
2014-01-03 08:00:00,2014-01-03,2014,8,,0.0,1,1,16,8
2014-01-03 09:00:00,2014-01-03,2014,9,2.0,2.0,0,1,17,8
2014-01-03 10:00:00,2014-01-03,2014,10,3.0,3.0,0,1,18,8
2014-01-03 11:00:00,2014-01-03,2014,11,5.0,5.0,0,1,19,8
2014-01-03 12:00:00,2014-01-03,2014,12,4.0,4.0,0,1,20,8
2014-01-03 13:00:00,2014-01-03,2014,13,8.0,8.0,0,1,21,8
2014-01-03 14:00:00,2014-01-03,2014,14,4.0,4.0,0,1,22,8
2014-01-03 15:00:00,2014-01-03,2014,15,5.0,5.0,0,1,23,8
2014-01-03 16:00:00,2014-01-03,2014,16,1.0,1.0,0,1,24,8
