check,location,failures
repeated_total_column,1-Jan,0
repeated_total_column,2-Jan,0
repeated_total_column,3-Jan,0
repeated_total_column,4-Jan,0
repeated_total_column,5-Jan,0
repeated_total_column,6-Jan,0
repeated_total_column,7-Jan,0
repeated_total_column,8-Jan,0
repeated_total_column,9-Jan,0
repeated_total_column,10-Jan,0
repeated_total_column,11-Jan,0
repeated_total_column,12-Jan,0
repeated_total_column,13-Jan,0
repeated_total_column,14-Jan,0
repeated_total_column,15-Jan,0
repeated_total_column,16-Jan,0
repeated_total_column,17-Jan,0
repeated_total_column,18-Jan,0
repeated_total_column,19-Jan,0
repeated_total_column,20-Jan,0
repeated_total_column,21-Jan,0
repeated_total_column,22-Jan,0
repeated_total_column,23-Jan,0
repeated_total_column,24-Jan,0
repeated_total_column,25-Jan,0
repeated_total_column,26-Jan,0
repeated_total_column,27-Jan,0
repeated_total_column,28-Jan,0
repeated_total_column,29-Jan,0
repeated_total_column,30-Jan,0
repeated_total_column,1-Feb,0
repeated_total_column,2-Feb,0
repeated_total_column,3-Feb,0
repeated_total_column,4-Feb,0
repeated_total_column,5-Feb,0
repeated_total_column,6-Feb,0
repeated_total_column,7-Feb,0
repeated_total_column,8-Feb,0
repeated_total_column,9-Feb,0
repeated_total_column,10-Feb,0
repeated_total_column,11-Feb,0
repeated_total_column,12-Feb,0
repeated_total_column,13-Feb,0
repeated_total_column,14-Feb,0
repeated_total_column,15-Feb,0
repeated_total_column,16-Feb,0
repeated_total_column,17-Feb,0
repeated_total_column,18-Feb,0
repeated_total_column,19-Feb,0
repeated_total_column,20-Feb,0
repeated_total_column,21-Feb,0
repeated_total_column,22-Feb,0
repeated_total_column,23-Feb,0
repeated_total_column,24-Feb,0
repeated_total_column,25-Feb,0
repeated_total_column,26-Feb,0
repeated_total_column,27-Feb,0
repeated_total_column,28-Feb,0
repeated_total_column,1-Mar,0
repeated_total_column,2-Mar,0
repeated_total_column,3-Mar,0
repeated_total_column,4-Mar,0
repeated_total_column,5-Mar,0
repeated_total_column,6-Mar,0
repeated_total_column,7-Mar,0
repeated_total_column,8-Mar,0
repeated_total_column,9-Mar,0
repeated_total_column,10-Mar,0
repeated_total_column,11-Mar,0
repeated_total_column,12-Mar,0
repeated_total_column,13-Mar,0
repeated_total_column,14-Mar,0
