race,stays,patients,percent_stays,mean_los_hours,median_los_hours,p90_los_hours,admitted
BLACK/AFRICAN AMERICAN,46,8,20.72072072072072,10.338991545893718,7.074999999999999,18.275,26
HISPANIC/LATINO - CUBAN,11,1,4.954954954954955,7.295984848484848,5.627777777777778,14.4,8
HISPANIC/LATINO - SALVADORAN,3,2,1.3513513513513513,5.805555555555556,5.5,9.193333333333333,1
MULTIPLE RACE/ETHNICITY,1,1,0.45045045045045046,4.866666666666666,4.866666666666666,4.866666666666666,1
OTHER,2,2,0.9009009009009009,5.674166666666666,5.674166666666666,7.280166666666666,2
PATIENT DECLINED TO ANSWER,1,1,0.45045045045045046,3.9583333333333335,3.9583333333333335,3.9583333333333335,1
PORTUGUESE,9,1,4.054054054054054,11.960709876543211,11.546666666666667,16.96977777777778,7
UNABLE TO OBTAIN,1,1,0.45045045045045046,2.95,2.95,2.95,1
UNKNOWN,6,5,2.7027027027027026,2.1999074074074074,2.1997222222222224,3.833333333333333,5
WHITE,138,41,62.16216216216216,7.679627616747182,5.658333333333333,15.139999999999997,94
WHITE - BRAZILIAN,3,1,1.3513513513513513,5.322222222222222,6.483333333333333,6.6433333333333335,3
WHITE - OTHER EUROPEAN,1,1,0.45045045045045046,4.396388888888889,4.396388888888889,4.396388888888889,1
