icd_version,icd_code,icd_title,records,stays
9,4019,HYPERTENSION NOS,21,21
10,Z794,Long term (current) use of insulin,19,19
10,I10,Essential (primary) hypertension,13,13
9,25000,DIABETES UNCOMPL ADULT,12,12
10,E119,Type 2 diabetes mellitus without complications,9,9
10,R079,"Chest pain, unspecified",8,8
9,2720,HYPERCHOLESTEROLEMIA,7,7
10,N179,"Acute kidney failure, unspecified",7,7
9,4280,"CONGESTIVE HEART FAILURE, UNSPEC",6,6
10,R0600,"Dyspnea, unspecified",6,6
10,N390,"Urinary tract infection, site not specified",6,6
10,I4891,Unspecified atrial fibrillation,6,6
10,R531,Weakness,6,6
9,78097,ALTERED MENTAL STATUS ,6,6
9,25001,DIABETES UNCOMPL JUVEN,5,5
9,V5867,LONG-TERM (CURRENT) USE OF INSULIN,5,5
10,E109,Type 1 diabetes mellitus without complications,5,5
9,V08,ASYMPTOMATIC HIV INFECTION,5,5
9,5990,URIN TRACT INFECTION NOS,5,5
9,5849,"ACUTE KIDNEY FAILURE, UNSPECIFIED",6,5
9,42731,ATRIAL FIBRILLATION,5,5
10,N189,"Chronic kidney disease, unspecified",4,4
9,486,"PNEUMONIA,ORGANISM UNSPECIFIED",4,4
10,R45851,Suicidal ideations,4,4
9,E9289,ACCIDENT NOS,4,4
9,E8889,UNSPECIFIED FALL,4,4
10,K922,"Gastrointestinal hemorrhage, unspecified",4,4
10,W1830XA,"Fall on same level, unspecified, initial encounter",4,4
10,F10129,"Alcohol abuse with intoxication, unspecified",4,4
10,E039,"Hypothyroidism, unspecified",4,4
9,07070,UNSPECIFIED VIRAL HEPATITIS C WITHOUT HEPATIC COMA,4,4
10,Y9289,Oth places as the place of occurrence of the external cause,4,4
9,25081,IDDM W SPEC MANIFESTATION,3,3
10,D649,"Anemia, unspecified",3,3
10,D72829,"Elevated white blood cell count, unspecified",3,3
9,78060,"FEVER, UNSPECIFIED",3,3
10,E7800,"Pure hypercholesterolemia, unspecified",3,3
10,E860,Dehydration,3,3
10,M7989,Other specified soft tissue disorders,3,3
