table,check,failures
edstays,missing_stay_id,0
edstays,duplicate_stay_id,0
edstays,orphan_stay_id,0
edstays,subject_id_mismatch,0
triage,missing_stay_id,0
triage,duplicate_stay_id,0
triage,orphan_stay_id,0
triage,subject_id_mismatch,0
diagnosis,missing_stay_id,0
diagnosis,orphan_stay_id,0
diagnosis,subject_id_mismatch,0
medrecon,missing_stay_id,0
medrecon,orphan_stay_id,0
medrecon,subject_id_mismatch,0
pyxis,missing_stay_id,0
pyxis,orphan_stay_id,0
pyxis,subject_id_mismatch,0
vitalsign,missing_stay_id,0
vitalsign,orphan_stay_id,0
vitalsign,subject_id_mismatch,0
edstays,invalid_or_missing_intime,0
edstays,invalid_or_missing_outtime,0
edstays,nonpositive_los,0
triage,sbp_less_than_dbp,1
vitalsign,sbp_less_than_dbp,1
