table,column,n,mean,sd,min,p25,median,p75,p90,p95,p99,max,raw_missing,nonnumeric_nonmissing,screening_low,screening_high,outside_screen
triage,temperature,196,97.78571428571429,4.484171592590417,36.5,97.6,98.1,98.5,99.4,99.8,100.2,100.3,26,0,80,110,1
triage,heartrate,198,91.17171717171718,18.89406234667948,43.0,77.0,89.5,104.0,117.30000000000001,124.14999999999998,130.3,157.0,24,0,20,250,0
triage,resprate,199,18.1356783919598,3.0078488936036925,14.0,16.0,18.0,18.0,22.0,23.099999999999994,32.0,32.0,23,0,4,80,0
triage,o2sat,198,97.6919191919192,2.700072447521233,78.0,97.0,98.0,100.0,100.0,100.0,100.0,100.0,24,0,0,100,0
triage,sbp,199,136.9497487437186,27.83024819477929,70.0,116.5,136.0,154.5,177.20000000000002,182.39999999999998,208.1800000000001,218.0,23,0,40,300,0
triage,dbp,199,77.04020100502512,59.26612120926859,42.0,62.0,72.0,82.5,94.20000000000002,101.1,117.02000000000001,879.0,23,0,20,200,1
triage,acuity,207,2.367149758454106,0.653952205571838,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,15,0,1,5,0
triage,pain,189,4.211640211640212,4.2108865945804075,0.0,0.0,4.0,8.0,10.0,10.0,13.0,13.0,21,12,0,10,7
vitalsign,temperature,579,94.30341968911917,15.420162374717611,31.4,97.7,98.1,98.5,99.1,100.0,101.46600000000001,104.9,459,0,80,110,36
vitalsign,heartrate,1008,86.3452380952381,19.28992351200914,47.0,72.0,84.0,98.0,114.30000000000007,120.0,133.0,179.0,30,0,20,250,0
vitalsign,resprate,990,18.15252525252525,3.502125410831802,8.0,16.0,18.0,20.0,22.0,25.0,30.0,40.0,48,0,4,80,0
vitalsign,o2sat,971,97.87126673532441,3.493279017003164,10.0,97.0,98.0,100.0,100.0,100.0,100.0,100.0,67,0,0,100,0
vitalsign,sbp,998,126.9438877755511,23.66607502389318,11.0,112.0,125.0,142.0,157.0,166.14999999999998,188.05999999999995,200.0,40,0,40,300,1
vitalsign,dbp,998,68.8687374749499,15.39984644145778,32.0,58.0,69.0,79.0,88.0,94.0,104.0,184.0,40,0,20,200,0
vitalsign,pain,642,2.892523364485981,3.579950258971141,0.0,0.0,0.0,7.0,8.0,9.0,10.0,10.0,302,94,0,10,0
