name,records,stays
Vancomycin,48,22
Acetaminophen,18,18
Morphine Sulfat 4mg/1mL 1mL VIAL,31,16
Ondansetron 4mg/2mL 2mL VIAL,34,15
Morphine,18,12
HYDROmorphone (D 1mg/1mL 1mL SYR,18,10
Ondansetron,22,10
FoLIC Acid,11,8
Acetaminophen 500mg TAB,9,8
HYDROmorphone (Dilaudid),21,8
MetRONIDAZOLE (Flagyl),7,7
Thiamine,20,7
Lorazepam,15,7
Dextrose 50%,10,7
Aspirin,7,7
CefePIME,10,7
Insulin Human Regular,12,7
Diazepam,18,6
Multivitamins,18,6
Metoprolol Tartrate,19,6
Levothyroxine Sodium 25mcg TAB,6,6
Vancomyci 1000mg/200mL 200mL BAG,12,6
Sodium Chloride 0.9%  (Mini Bag Plus),6,6
Pantoprazole Sodium,12,6
Midazolam,20,6
Furosemide,7,6
Fentanyl Citrate,16,6
Aspirin 81mg TAB,7,6
Furosemide 40mg/4mL 4mL VIAL,6,5
CefTRIAXone (Mini Bag Plus),5,5
Ciprofloxacin IV,5,5
CefTRIAXone,14,5
Divalproex (DELayed Re 250mg TAB,9,5
Piperacillin-Tazobactam Na,10,5
Dextrose 50% 25gm/50mL 50mL SYR,4,4
Ibuprofen,4,4
Furosemide 20mg TAB,4,4
Hepari 25000UNIT/250mL 250mL BAG,8,4
Gabapentin 300mg CAP,4,4
Fentanyl,10,4
Albuterol 0.083% Neb Soln,5,4
Acetaminophen 325mg TAB,4,4
CeftriaXONE (Mini Bag Plus),4,4
Readi-Cat 2  (Barium Sul 2%)*,4,4
Readi-Cat 2  (Barium S 450mL BTL,8,4
OxyCODONE (Immediate Rel 5mg TAB,5,4
OxyCODONE (Immediate Release),4,4
Octreotide Acetate,8,4
MetroNIDAZ 500mg/100mL 100mL BAG,4,4
Levothyroxine Sodium,5,3
Levofloxacin,3,3
Lidocaine 5% Patch,3,3
Lidocaine Jelly 2% (Urojet),6,3
LORazepam 2mg/1mL 1mL SYR,15,3
Magnesium Sulf 2gm/50mL 50mL BAG,3,3
Lidocaine Viscous 2% 15mL UDCUP,4,3
Metoprolol Succinate 25mg XL TAB,3,3
NORepinephri 8mg/250mL 250mL BAG,3,3
Losartan Potassium 25mg TAB,3,3
Ciprofloxa 400mg/200mL 200mL BAG,3,3
Gabapentin,4,3
Diltiazem,4,3
Heparin Sodium,6,3
Heparin Flush (10 Units/ 5mL SYR,4,3
Fentanyl 2.5mg 50mL Bag,6,3
Aluminum-Magnesium Hy 30mL UDCUP,6,3
Calcium Gluconate,10,3
Aluminum-Magnesium Hydrox.-Simet,6,3
Midazolam 100mg/100mL 100mL Bag,6,3
QUEtiapine Fumarate,4,3
ZIPRASidone 20mg CAP,7,3
Pantoprazole,3,2
Propofol,6,2
Norepinephrine,4,2
Morphine Sulfate,6,2
Metoprolol Tartrate 50mg TAB,2,2
Nitroglycerin SL 0.4mg BTL,2,2
Oxycodone-Acetaminophen 1TAB TAB,2,2
Thiamine 100mg TAB,8,2
TraZODone 50mg TAB,2,2
Ranitidine 150mg TAB,2,2
Ketorolac,2,2
Hydrocodone-Acetamin(5m 1TAB TAB,3,2
Donnatol (Elixir),5,2
Docusate Sodium 100mg CAP,4,2
FLUoxetine 20mg CAP,2,2
DiphenhydrAMINE,5,2
Docusate Sodium,3,2
Hydrocodone-Acetamin(5mg-325mg),4,2
HYDROmorphone (Dilaudid) 2mg TAB,2,2
Donnatol (Elixir) 5mL Oral Sy,2,2
Ibuprofen 600mg TAB,2,2
Lactulose,27,2
LevETIRAce 500mg/100mL 100mL MBP,2,2
Nitroglyce 100mg/250mL 250mL BTL,8,2
Lidocaine Viscous 2%,2,2
Omeprazole,4,2
"Piperacilli 4,5g/100mL 100mL Bag",2,2
Propofol 1000mg/100mL 100mL VIAL,4,2
Piperacilli 4.5g/100mL 100mL Bag,2,2
Atorvastatin,2,2
Acetaminophen (Rectal),2,2
CefTRIAXone 1gm/100mL 100mL Bag,2,2
Acyclovir 400mg TAB,2,2
Albuterol Inhaler,4,2
CefePIME 2g/100mL 100mL BAG,2,2
Haloperidol,4,2
Heparin Flush 100 Unit / 5mL SYR,6,2
Atorvastatin 20mg TAB,3,2
Azithromycin,3,2
CeftriaXONE,4,2
Acyclovir,3,2
Alteplase,3,2
Magnesium Oxide,2,2
Ketorolac 15mg/1mL 1mL VIAL,4,2
Ketorolac 30mg/1mL 1mL VIAL,3,2
Labetalol,5,2
Insulin Glargine,2,1
Kcentra,1,1
Ipratropium Bromide Neb 1Neb,1,1
Ipratropium Bromide Neb,1,1
Kcentra 591Units VIAL,2,1
Gabapentin 100mg CAP,2,1
HYDROmorphone (i 1mg/1mL 1mL SYR,2,1
Heparin Flush (10 Units/mL),1,1
Gastroview (Diatrizoate 30mL BTL,1,1
Famotidine 20mg/50mL 50mL BAG,1,1
Famotidine (PO),1,1
Citalopram Hydrobromide 20mg TAB,1,1
Divalproex (DELayed Release),1,1
Diazepam 5mg TAB,1,1
Digoxin 0.125mg TAB,1,1
Diltiazem Extended-Rel 120mg CAP,2,1
Colchicine 0.6mg TAB,1,1
Insulin HumaLOG,2,1
HydrOXYzine,1,1
Hydrocortisone Na Succinate,3,1
Heparin Flush 100 Unit / mL,2,1
Escitalopram Oxalate 10mg TAB,1,1
Enalaprilat,1,1
EPINEPHrine (for dilution),4,1
Fentanyl 100mcg/2mL 2mL AMP,6,1
FoLIC Acid 1mg TAB,3,1
Cephalexin 250mg CAP,1,1
Ciprofloxacin,3,1
Calcium Gluco 2g/100mL 100mL BAG,3,1
CARVedilol,1,1
BuPROPion (Sustained R 100mg TAB,1,1
Aspirin 325mg TAB,2,1
Artificial Tears,1,1
Artificial Tears 15mL DBTL,1,1
Aspirin (Chewable),1,1
Aspirin (Rectal) 600mg SUPP,1,1
Amoxicillin-Clavulanic Acid,1,1
AmLODIPine 5mg TAB,1,1
Amiodarone (for dilution),1,1
Albuterol 0.083% Neb Soln 1Neb,1,1
Acetaminophen (Rectal 650mg SUPP,1,1
Acetamin 1000mg/100mL 100mL Vial,1,1
AmLODIPine,1,1
Amitriptyline,1,1
CefePIME 2g VIAL,2,1
Ampicillin-Sulbactam,2,1
CefTAZidime 1g VIAL,3,1
CefePIME (Fro 2g/100mL 100mL Bag,1,1
Cephalexin,1,1
Colchicine,1,1
Diazepam 10mg TAB,3,1
Diazepam 10mg/2mL 2mL SYR,2,1
FLUoxetine 10mg CAP,1,1
MetFORMIN (Glucophage),1,1
MethylPREDNISolone Sodium Succ,3,1
Lisinopril 20mg TAB,1,1
Lidocaine Jelly 2% (Uro 5mL UJET,2,1
Lidocaine Jelly 2% (Glyd 6mL SYR,1,1
Lisinopril 5mg TAB,2,1
Lidocaine 2%,1,1
OSELTAMivir,1,1
OSELTAMIvir,1,1
Nitrofurantoin Monohy 100mg CAP,2,1
Nitroglycerin,4,1
Naloxone 0.04mg/1mL 10mL KIT,1,1
NiCARdipine 40mg/200mL 200mL BAG,2,1
NiCARdipine IV,4,1
Nitrofurantoin Monohy (MacroBID),9,1
NORepinephrine (in NS),1,1
NORepinephrine,2,1
Multivitamins 1TAB TAB,3,1
Metoprolol Succinate XL,1,1
Metoprolol Tartrate 25mg TAB,1,1
Metoclopramide,1,1
Midazolam 5mg/1mL 1mL Vial,2,1
MetroNIDAZOLE (Flagyl),1,1
Metoclopramide 10mg/2mL 2mL VIAL,1,1
Lidocaine 5% Patch 1PTCH PTCH,1,1
LeVETirace 500mg/100mL 100mL MBP,1,1
Lidocaine 1%,1,1
Labetalol 100mg/20mL 20mL VIAL,1,1
LORazepam 1mg TAB,1,1
LamoTRIgine 100mg TAB,1,1
Levofloxac 750mg/150mL 150mL BAG,1,1
Pantoprazole Sodium 40mg VIAL,2,1
Pantoprazole Sodium (For Dilution),1,1
Pantoprazole 40mg TAB,2,1
PHENYLEPHrine (for dilution),2,1
PHENYLEPHrine,6,1
Oxycodone-Acetaminophen,2,1
Olanzapine,1,1
Ondansetron ODT 4mg TAB,1,1
PredniSONE,5,1
PredniSONE 20mg TAB,2,1
Potassium Chloride,2,1
Potassium Chloride 10mEq TAB,4,1
Polyethylene Glycol,4,1
Phytonadione,1,1
Phytonadione 5mg TAB,1,1
Piperacilli 4.5g/100mL 100mL BAG,2,1
Phenytoin Sodium,2,1
Phenylephrine,1,1
Phytonadione 10mg/1mL 1mL AMP,1,1
Rocuronium 100mg/10mL 10mL Vial,2,1
Rivaroxaban 20mg TAB,1,1
QUEtiapine Fumarate 100mg TAB,1,1
Rivaroxaban,1,1
Propranolol,1,1
Spironolactone 25mg TAB,1,1
Spironolactone,1,1
Sodium Polystyrene Sulfonate,1,1
Sodium Bicarbonate,2,1
Senna 8.6mg TAB,1,1
Simvastatin 10mg TAB,1,1
Sucralfate 1gm TAB,1,1
Sulfameth/Trimeth DS,2,1
Torsemide 20mg TAB,1,1
Torsemide,2,1
Tamsulosin 0.4mg CAP,1,1
Tetanus-DiphTox-Acellular Pertuss,3,1
Vasopressin,3,1
ZIPRASidone,2,1
risperiDONE,1,1
risperiDONE 1mg TAB,1,1
