hour,represented_hours,nonblank_hours,mean_nonblank_only,mean_if_blank_is_zero,blank_hours
0,1416,1309,2.839572192513369,2.625,107
1,1416,1213,2.4558944765045343,2.1038135593220337,203
2,1416,1160,2.264655172413793,1.8552259887005649,256
3,1416,1147,2.085440278988666,1.689265536723164,269
4,1416,1121,1.9652096342551293,1.5557909604519775,295
5,1416,1115,2.009865470852018,1.5826271186440677,301
6,1416,1211,2.3203963666391414,1.984463276836158,205
7,1416,1300,2.8653846153846154,2.630649717514124,116
8,1416,1377,4.140885984023239,4.02683615819209,39
9,1416,1404,5.128917378917379,5.08545197740113,12
10,1416,1406,5.485775248933144,5.447033898305085,10
11,1416,1406,5.725462304409673,5.685028248587571,10
12,1416,1409,5.850958126330731,5.822033898305085,7
13,1416,1408,5.650568181818182,5.61864406779661,8
14,1416,1405,5.63202846975089,5.588276836158192,11
15,1416,1405,5.691103202846975,5.646892655367232,11
16,1416,1403,5.852459016393443,5.798728813559322,13
17,1416,1405,6.039145907473309,5.992231638418079,11
18,1416,1407,5.830845771144278,5.793785310734464,9
19,1416,1407,5.65316275764037,5.617231638418079,9
20,1416,1408,5.463068181818182,5.432203389830509,8
21,1416,1403,5.070563079116179,5.0240112994350286,13
22,1416,1388,4.38400576368876,4.297316384180791,28
23,1416,1356,3.5331858407079646,3.3834745762711864,60
